,id,nom,commune,isActive,latitude,longitude,cityRank,code_commune
0,3040,Bellegarde Valséo,"{'codeCommune': '01033', 'nom': 'Valserhône', 'availableForSeniors': False}",True,46.11581,5.81598,,01033
1,3041,Bellegarde Lycée,"{'codeCommune': '01033', 'nom': 'Valserhône', 'availableForSeniors': False}",True,46.116,5.81758,,01033
2,2800,Châtillon Place Clertan,"{'codeCommune': '01033', 'nom': 'Valserhône', 'availableForSeniors': False}",True,46.14359,5.79652,,01033
3,2801,Châtillon Centre,"{'codeCommune': '01033', 'nom': 'Valserhône', 'availableForSeniors': False}",True,46.14455,5.79916,,01033
4,2802,Châtillon Rue de la Poste,"{'codeCommune': '01033', 'nom': 'Valserhône', 'availableForSeniors': False}",True,46.14136,5.79731,,01033
5,2803,Parc d'Activités des Étournelles,"{'codeCommune': '01033', 'nom': 'Valserhône', 'availableForSeniors': False}",True,46.12618,5.80637,,01033
6,2804,Étournelles Pôle sportif,"{'codeCommune': '01033', 'nom': 'Valserhône', 'availableForSeniors': False}",True,46.13245,5.79417,,01033
7,2805,Étournelles Arrêt bus,"{'codeCommune': '01033', 'nom': 'Valserhône', 'availableForSeniors': False}",True,46.13301,5.79326,,01033
8,2806,Vouvray École,"{'codeCommune': '01033', 'nom': 'Valserhône', 'availableForSeniors': False}",True,46.11214,5.78368,,01033
9,2807,Vouvray École,"{'codeCommune': '01033', 'nom': 'Valserhône', 'availableForSeniors': False}",True,46.11206,5.78388,,01033
10,2808,Vouvray Hôtel Marinet,"{'codeCommune': '01033', 'nom': 'Valserhône', 'availableForSeniors': False}",True,46.11437,5.78311,,01033
11,2809,Vouvray Hôtel Marinet,"{'codeCommune': '01033', 'nom': 'Valserhône', 'availableForSeniors': False}",True,46.1145,5.78303,,01033
12,2810,Lancrans Salle des Fêtes,"{'codeCommune': '01033', 'nom': 'Valserhône', 'availableForSeniors': False}",True,46.12406,5.83353,,01033
13,2811,Lancrans Église,"{'codeCommune': '01033', 'nom': 'Valserhône', 'availableForSeniors': False}",True,46.12483,5.83457,,01033
14,2812,Lancrans Église,"{'codeCommune': '01033', 'nom': 'Valserhône', 'availableForSeniors': False}",True,46.12477,5.83384,,01033
15,2814,Ballon Place de la Seigneurie de Balon,"{'codeCommune': '01033', 'nom': 'Valserhône', 'availableForSeniors': False}",True,46.11712,5.83557,,01033
16,2815,Ballon Rue du Champ de Foire,"{'codeCommune': '01033', 'nom': 'Valserhône', 'availableForSeniors': False}",True,46.11723,5.83644,,01033
17,3040,Bellegarde Valséo,"{'codeCommune': '01033', 'nom': 'Valserhône', 'availableForSeniors': False}",True,46.11581,5.81598,,01033
