id,code_commune,nom_commune,code_departement,nom_departement,code_region,nom_region,latitude,longitude,commentaire
50,1215,Lhôpital,1,Ain,84,Auvergne-Rhône-Alpes,46.02191,5.779198,Lhôpital Arrêt de Bus
51,1215,Lhôpital,1,Ain,84,Auvergne-Rhône-Alpes,46.021758,5.778952,Lhôpital
52,1215,Lhôpital,1,Ain,84,Auvergne-Rhône-Alpes,46.02191,5.779198,Lhôpital Arrêt de Bus
53,1215,Lhôpital,1,Ain,84,Auvergne-Rhône-Alpes,46.021758,5.778952,Lhôpital
54,1298,Plagne,1,Ain,84,Auvergne-Rhône-Alpes,46.19138,5.72695,Plagne
55,1357,Saint-Germain-de-Joux,1,Ain,84,Auvergne-Rhône-Alpes,46.17673,5.74083,Saint-Germain-de-Joux Hôtel
56,1357,Saint-Germain-de-Joux,1,Ain,84,Auvergne-Rhône-Alpes,46.17698,5.73911,Saint-Germain-de-Joux D1084
57,1357,Saint-Germain-de-Joux,1,Ain,84,Auvergne-Rhône-Alpes,46.17274,5.72938,La Voûte
58,1357,Saint-Germain-de-Joux,1,Ain,84,Auvergne-Rhône-Alpes,46.17907,5.73834,Saint-Germain-de-Joux Centre ville
59,1448,Villes,1,Ain,84,Auvergne-Rhône-Alpes,46.09164,5.78151,Villes rue du Dr Coste
60,1448,Villes,1,Ain,84,Auvergne-Rhône-Alpes,46.08872,5.78555,Villes Parking rue des Tilleuls
61,2005,Aguilcourt,2,Aisne,32,Hauts-de-France,49.4064887,3.9666098,AGUILCOURT CENTRE VILLAGE MAIRIE
62,2013,Amifontaine,2,Aisne,32,Hauts-de-France,49.4825303,3.9169532,AMIFONTAINE - place
63,2013,Amifontaine,2,Aisne,32,Hauts-de-France,49.4845626,3.9110569,AMIFONTAINE - HALTE FERROVIAIRE
64,2073,Berry-au-Bac,2,Aisne,32,Hauts-de-France,49.3965443,3.9032099,BERRY AU BAC SILO
65,2073,Berry-au-Bac,2,Aisne,32,Hauts-de-France,49.4015347,3.8998032,BERRY AU BAC Abri EMMAUS
66,2076,Bertricourt,2,Aisne,32,Hauts-de-France,49.3951417,4.0095562,BERTRICOURT parking mairie
67,2097,Boncourt,2,Aisne,32,Hauts-de-France,49.6162134,3.9468892,BONCOURT - ABRIBUS
68,2104,Bouffignereux,2,Aisne,32,Hauts-de-France,49.3739326,3.8440146,BOUFFIGNEREUX village
69,2104,Bouffignereux,2,Aisne,32,Hauts-de-France,49.3811971,3.851374,BOUFFIGNEREUX aire de covoiturage
70,2133,Bucy-lès-Pierrepont,2,Aisne,32,Hauts-de-France,49.6463764,3.9011494,BUCY LES PIERREPONT - PARKING COVOITURAGE - EGLISE
71,2133,Bucy-lès-Pierrepont,2,Aisne,32,Hauts-de-France,49.6482762,3.9010744,BUCY LES PIERREPONT - STADE
72,2171,Chaudardes,2,Aisne,32,Hauts-de-France,49.3917052,3.7906416,CHAUDARDES ABRI BUS
